0|2
0|1
0|2
0|1
0|2
0|1
0|1
0|2
0|1
0|1
0|2
0|1
0|7
0|7
0|7
0|7
0|6
0|7
0|6
0|7
0|6
0|7
0|6
0|7
1|7
1|7
2|6
1|7
1|7
1|7
2|6
2|6
2|6
2|6
4|7
4|7
4|7
3|7
4|7
4|7
2|7
3|7
3|7
3|7
3|6
3|7
3|6
3|7
3|6
3|7
3|6
3|7
1|6
0|7
1|7
0|7
1|7
0|6
1|7
0|6
1|7
0|6
1|7
1|7
0|7
1|6
1|6
0|7
0|7
0|6
0|7
0|7
0|6
1|6
0|7
0|7
0|7
1|7
0|7
1|7
1|7
1|7
1|7
1|7
0|7
0|7
1|6
0|7
1|6
0|7
1|7
1|7
0|7
1|6
1|7
0|6
1|7
0|7
1|7
0|7
0|7
0|6
0|7
0|7
0|6
0|6
0|7
0|7
0|7
0|6
0|7
0|7
0|6
1|6
0|7
0|7
0|7
0|7
1|6
1|6
0|7
0|7
1|7
1|7
0|7
1|7
0|6
1|7
0|7
1|6
1|7
0|7
1|7
0|7
1|7
0|6
1|7
1|7
1|7
1|7
0|7
0|7
0|6
0|7
0|7
0|7
0|7
0|7
0|7
0|7
0|6
0|7
0|7
0|6
0|7
1|6
1|6
0|7
